parcel_id,city,lot_sqft,zoning
050004300027,Cincinnati,6926.04,510
050004300029,Cincinnati,6621.12,510
050004300030,Cincinnati,6882.4800000000005,500
050003310009,Cincinnati,54145.08,510
050003310017,Cincinnati,87337.79999999999,510
050003310018,Cincinnati,78408.0,510
050003310019,Cincinnati,92129.40000000001,510
050003310022,Cincinnati,116305.2,510
050003310023,Cincinnati,32321.52,510
050003310024,Cincinnati,29054.52,510
050003310025,Cincinnati,95614.2,510
050003310026,Cincinnati,61680.96,510
050003310028,Cincinnati,34499.520000000004,510
055002040252,Cincinnati,28488.24,510
055002040258,Cincinnati,35719.2,510
055002040257,Cincinnati,40989.96,500
055002040254,Cincinnati,24785.64,500
050003310055,Cincinnati,63162.0,510
050003420416,Cincinnati,6054.84,510
006500010180,Cincinnati,6141.959999999999,500
050100090026,Cincinnati,13590.72,454
050003420440,Cincinnati,7927.92,510
055002110114,Cincinnati,223941.96,510
050100090354,Cincinnati,96136.92,412
050100090662,Cincinnati,30709.8,442
055002040249,Cincinnati,229212.71999999997,510
050100090016,Cincinnati,125627.04,350
050100090017,Cincinnati,45128.16,340
055002040251,Cincinnati,26179.559999999998,500
050100040059,Cincinnati,22912.56,420
050100040064,Cincinnati,7927.92,510
050100040069,Cincinnati,8102.16,510
050100040070,Cincinnati,9670.32,510
050100090015,Cincinnati,20691.0,455
050100090664,Cincinnati,50834.520000000004,435
055001120091,Cincinnati,182516.40000000002,510
055001120051,Cincinnati,20516.76,510
055001120076,Cincinnati,51662.159999999996,500
055001420229,Cincinnati,14505.480000000001,510
055001420199,Cincinnati,15202.439999999999,510
055001120096,Cincinnati,34412.4,111
003900060182,Cincinnati,4835.16,510
000200030013,Cincinnati,40815.72,510
000200030015,Cincinnati,24567.839999999997,510
000900030150,Cincinnati,2003.76,500
003900060185,Cincinnati,5227.2,520
003900060012,Cincinnati,7318.080000000001,510
003900060013,Cincinnati,4922.28,530
003900060098,Cincinnati,8058.599999999999,510
003900060179,Cincinnati,4181.76,510
050002700363,Cincinnati,10367.279999999999,510
050002700364,Cincinnati,8842.68,510
050002700365,Cincinnati,12893.76,510
050002700369,Cincinnati,9757.44,510
050002700370,Cincinnati,9931.68,510
050002700371,Cincinnati,9713.880000000001,510
050002700372,Cincinnati,10585.08,510
050002700373,Cincinnati,11064.24,510
050002700375,Cincinnati,8058.599999999999,510
050002700376,Cincinnati,9626.76,510
000200030017,Cincinnati,15855.84,510
000200030021,Cincinnati,16988.4,510
000200030022,Cincinnati,15376.679999999998,510
050002700319,Cincinnati,548725.32,650
050002700338,Cincinnati,13634.28,510
050002700339,Cincinnati,9975.24,510
050002700340,Cincinnati,9888.12,510
050002700343,Cincinnati,15638.039999999999,510
050002700344,Cincinnati,21475.079999999998,510
050002700345,Cincinnati,32060.16,510
050002700346,Cincinnati,13068.0,510
050002700347,Cincinnati,16770.600000000002,510
050002700349,Cincinnati,8842.68,510
050002700350,Cincinnati,14941.080000000002,510
050002700351,Cincinnati,9539.64,510
050002700352,Cincinnati,10585.08,510
