parcel_id,status,score,tier,ruleset_version,analyzed_at,error
02034000038,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02034000038\' not found for city \'Memphis\'.""}'}"
02703400037,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703400037\' not found for city \'Memphis\'.""}'}"
02703400039,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703400039\' not found for city \'Memphis\'.""}'}"
02703400041,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703400041\' not found for city \'Memphis\'.""}'}"
02703400045,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703400045\' not found for city \'Memphis\'.""}'}"
02703100008,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703100008\' not found for city \'Memphis\'.""}'}"
02703100009,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703100009\' not found for city \'Memphis\'.""}'}"
02703100010,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703100010\' not found for city \'Memphis\'.""}'}"
02703100011,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703100011\' not found for city \'Memphis\'.""}'}"
02703100012,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703100012\' not found for city \'Memphis\'.""}'}"
02703100013,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703100013\' not found for city \'Memphis\'.""}'}"
02703200001,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703200001\' not found for city \'Memphis\'.""}'}"
02703200002,404,,,,,"{'error': '{""error"":""PARCEL_NOT_FOUND"",""message"":""Parcel \'02703200002\' not found for city \'Memphis\'.""}'}"
