parcel_id,zoning,lot_sqft
5126804,RD (f6.0; d0.45) (x13),4788
5126831,RM (f18.0; a665; u4),3603
5126938,RD (f12.0; d0.45) (x12),7567
5127035,RM (f18.0; a665; u4),3604
5127014,RM (f18.0; a665; u4),94564
5127154,RD (f6.0; d0.45) (x13),2456
5127623,RM (au220.0) (x92),60819
5128024,RM (f18.0; a665; u4),3600
5128041,RM (f18.0; a665; u4),3603
5128055,RD (f6.0; d0.45) (x13),3008
5128166,RD (f6.0; d0.45) (x13),4247
5128189,EH 1.0,130849
5128267,RD (f6.0; d0.45) (x13),2902
5128287,RD (f15.0; a550) (x5),6908
5128413,RD (f6.0; d0.45) (x13),5692
5128422,OR,654
5128465,RD (f15.0; a550) (x5),8916
5128490,RD (f6.0; d0.45) (x13),3104
5128489,RD (f6.0; d0.45) (x13),3009
5128550,RD (f6.0; d0.45) (x13),2439
5128590,RM (f18.0; a665; u4),3603
5128800,RM (f18.0; a665; u4),5889
5128826,RM (f18.0; a665; u4),3604
5128892,CR 1.0 (c1.0; r1.0) SS3  (x1546),2962
5128951,RD (f6.0; d0.45) (x13),2801
5129058,RD (f12.0; d0.45) (x12),4517
5129093,CR 1.0 (c1.0; r1.0) SS3  (x1546),11509
5129151,CR 1.0 (c1.0; r1.0) SS3  (x1546),2746
5129210,E 1.0,28676
5129538,RD (f6.0; d0.45) (x13),2876
5129642,RM (f18.0; a665; u4),4951
5129739,RD (f6.0; d0.45) (x13),3054
5129762,RM (f18.0; a665; u4),3644
5129806,RD (f6.0; d0.45) (x13),3387
5129862,RM (f18.0; a665; u4),3604
5129911,RD (f15.0; a550) (x5),7589
5130015,E 1.0,28018
5130512,RD (f6.0; d0.45) (x13),3048
5131087,RM (f18.0; a665; u4),3722
5131132,RD (f15.0; a550) (x5),6428
5131517,RD (f15.0; a550) (x5),5913
5131722,RD (f12.0; d0.45) (x12),4957
5131734,RD (f6.0; d0.45) (x13),3009
5131846,RD (f12.0; d0.45) (x12),5650
5131918,RM (f18.0; a665; u4),3663
5132217,RM (f18.0; a665; u4),4103
5132281,RD (f12.0; d0.45) (x12),4415
5132289,RD (f6.0; d0.45) (x13),3256
5132246,EL 1.0,32480
5132318,RD (f15.0; a550) (x5),5975
5132525,RD (f6.0; d0.45) (x13),3956
5132603,RM (f18.0; a665; u4),4000
5132807,RM (f18.0; a665; u4),3600
5132893,RD (f6.0; d0.45) (x13),3613
5133112,RD (f6.0; d0.45) (x13),2777
5133126,RM (f18.0; a665; u4),3637
5133195,RD (f6.0; d0.45) (x13),22966
5133198,RD (f12.0; d0.45) (x12),5069
5133264,RD (f6.0; d0.45) (x13),3194
5133268,RD (f9.0; d0.6) (x11),4705
5133685,RD (f9.0; d0.6) (x10),2791
5133830,RM (f18.0; a665; u4),25190
5133888,RM (f18.0; a665; u4),3154
5134018,RM (f18.0; a665; u4),3676
5134276,RD (f15.0; a550) (x5),10371
5134304,RD (f12.0; d0.45) (x12),4515
5134309,RM (f18.0; a665; u4),3862
5134366,RM (f18.0; a665; u4),3602
5134563,RT (x38),2176
5134573,RD (f9.0; d0.6) (x11),3849
5134590,OR,46375
5134883,RD (f12.0; d0.45) (x12),4515
5134921,RD (f12.0; d0.45) (x12),6234
5135277,RM (f18.0; a665; u4),4571
5135439,RD (f12.0; d0.45) (x12),6818
5135462,RD (f12.0; d0.45) (x12),5155
5135554,RD (f12.0; d0.45) (x12),5695
5135616,RM (f18.0; a665; u4),4405
5135636,OR,61521
5135648,RT (x38),2108
5135678,RD (f12.0; d0.45) (x12),4515
5135786,UT (x45),297755
5135815,RD (f9.0; d0.6) (x10),2811
5135844,RD (f15.0; a550) (x5),6543
5135848,RT (x38),2158
5136274,RM (f18.0; a665; u4),3823
5136282,RD (f9.0; d0.6) (x10),2875
5136356,RM (f18.0; a665; u4),5929
5136466,RD (f12.0; d0.45) (x12),4515
5136499,RT (x38),2515
5136526,RD (f12.0; d0.45) (x12),5047
5136532,EH 1.0 (x9),104702
5136656,RD (f9.0; d0.6) (x10),3272
5136716,RD (f15.0; a550) (x5),4614
5136823,RD (f9.0; d0.6) (x10),2998
5136993,RD (f9.0; d0.6) (x10),3390
5137003,RD (f9.0; d0.6) (x10),2842
5137023,RD (f9.0; d0.6) (x10),3527
5137055,RD (f9.0; d0.6) (x10),3267
5137160,RM (f18.0; a665; u4),4833
5137287,RD (f15.0; a550) (x5),6257
5137318,RM (f18.0; a665; u4),3963
5137325,RT (x38),3275
5137387,RM (f18.0; a665; u4),3122
5137558,RM (f18.0; a665; u4),3904
5137619,RD (f12.0; d0.45) (x12),5901
5137641,RM (f18.0; a665; u4),3599
5137668,RM (f18.0; a665; u4),4350
5137707,RM (f18.0; a665; u4),4330
5137713,RD (f9.0; d0.6) (x10),3708
5137726,E 1.0 (x89),267
5137731,RD (f9.0; d0.6) (x10),3348
5137774,RT (x38),2575
5137841,RM (f18.0; a665; u4),3592
5137845,RD (f15.0; a550) (x5),6297
5138072,RD (f9.0; d0.6) (x10),3147
5138202,RD (f12.0; d0.45) (x12),708
5138306,RD (f15.0; a550) (x5),7472
5138672,RD (f18.0; a690),8232
5138417,RM (f18.0; a665; u4),4046
5138573,RT (x38),3205
5138659,RM (f18.0; a665; u4),3594
5138677,RD (f13.5; a510; d0.45),7326
5138690,RD (f12.0; d0.45) (x12),4754
5138699,RD (f15.0; a550) (x5),7891
5138782,RM (f18.0; a665; u4),3608
5138837,RT (x38),6609
5138873,RT (x38),2408
5138903,RM (f18.0; a665; u4),3682
5138919,RM (f18.0; a665; u4),4373
5138997,RM (f18.0; a665; u4),3725
5139165,RD (f9.0; d0.6) (x10),3214
5139171,E 1.0 (x89),33
5139292,RD (f13.5; a510; d0.45),6753
5139444,RM (f18.0; a665; u4),3791
5139516,RM (f18.0; a665; u4),3611
5152589,RS (f18.0; a665) (x6),6363
5139573,RD (f13.5; a510; d0.45),6752
5139664,ON,30991
5139680,RD (f9.0; d0.6) (x10),4041
5139844,RD (f15.0; a550) (x5),9843
5139862,RD (f15.0; a550) (x5),6026
5139989,RD (f9.0; d0.6) (x10),3290
5140470,RD (f15.0; a550) (x5),6018
5140492,RD (f13.5; a510; d0.45),5502
5140637,RD (f13.5; a510; d0.45),5500
5140656,RD (f12.0; d0.45) (x12),56646
5140798,RM (f18.0; a665; u4),3602
5140815,RD (f9.0; d0.6) (x10),3088
5140849,RM (f18.0; a665; u4),3767
5140873,RD (f13.5; a510; d0.45),5501
5140917,RM (f18.0; a665; u4),3773
5140953,RM (f18.0; a665; u4),3608
5141094,RD (f9.0; d0.6) (x10),3479
5141278,RD (f9.0; d0.6) (x10),3298
5141363,RS (f18.0; a665) (x6),5044
5141646,RD (f9.0; d0.6) (x10),3724
5141675,RD (f9.0; d0.6) (x10),3470
5141760,RS (f18.0; a665) (x6),3709
5141773,RD (f9.0; d0.6) (x10),3120
5141867,RD (f9.0; d0.6) (x10),3074
5141925,RM (f18.0; a665; u4),40023
5142029,RM (f18.0; a665; u4),3613
5142036,RS (f18.0; a665) (x6),4020
5142075,RD (f12.0; d0.45) (x12),4517
5142272,RD (f13.5; a510; d0.45),5499
5142299,RD (f9.0; d0.6) (x10),2961
5142302,RM (f18.0; a665; u4),4229
5142368,RD (f13.5; a510; d0.45),5499
5142437,RD (f15.0; a550) (x5),6277
5142519,RD (f9.0; d0.6) (x10),3105
5142577,RD (f12.0; d0.45) (x12),4781
5142786,RD (f13.5; a510; d0.45),5892
5142795,RM (f18.0; a665; u4),3550
5142886,RM (f18.0; a665; u4),3460
5142917,RM (f18.0; a665; u4),3610
5142928,RM (f18.0; a665; u4),3602
5143225,RD (f9.0; d0.6) (x10),3231
5142993,RM (f18.0; a665; u4),3659
5143004,RD (f12.0; d0.45) (x12),4517
5143009,RD (f9.0; d0.6) (x10),3506
5143082,RS (f18.0; a665) (x6),4692
5143085,RD (f12.0; d0.45) (x12),4517
5143125,RM (f18.0; a665; u4),3596
5143138,RD (f9.0; d0.6) (x10),3360
5143197,RM (f18.0; a665; u4),3811
5143242,E 1.0 (x87),760
5143254,RD (f13.5; a510; d0.45),5532
5143402,RM (f18.0; a665; u4),3593
5143432,RD (f18.0; a690),5756
5143914,RD (f13.5; a510; d0.45),5636
5143479,E 1.0,67782
5144129,RD (f18.0; a690),8106
5143803,RD (f9.0; d0.6) (x10),1296
5143814,RD (f13.5; a510; d0.45),5551
5143982,RM (f18.0; a665; u4),3622
5143998,RD (f9.0; d0.6) (x10),3413
5144114,RD (f9.0; d0.6) (x10),2924
5144180,RD (f9.0; d0.6) (x10),142445
5144184,RD (f9.0; d0.6) (x10),2861
